bibcode,position,author,affiliation_raw,institution,is_colombian
2026NewA..12802606P,1,"Pardo, Leandro","Universidad Nacional de Colombia, Sede Bogotá. Observatorio Astronómico Nacional (OAN). Grupo de Astronomía Galáctica, Gravitación y Cosmología. Bogotá, Colombia",Universidad Nacional de Colombia,True
2026NewA..12802606P,2,"Castañeda, Leonardo","Universidad Nacional de Colombia, Sede Bogotá. Observatorio Astronómico Nacional (OAN). Grupo de Astronomía Galáctica, Gravitación y Cosmología. Bogotá, Colombia",Universidad Nacional de Colombia,True
2026A&C....5701160S,1,"Sierra-Porta, D.","Universidad Tecnológica de Bolívar. Grupo de Investigación Gravitación y Matemática Aplicada - GIGMA &amp; Grupo de Investigación Física Aplicada y Procesamiento de Imágenes y Señales - FAPIS., Parque Industrial y Tecnológico Carlos Vélez Pombo Km 1 Vía Turbaco, Cartagena de Indias, 130010, Bolívar, Colombia;",Universidad Tecnológica de Bolívar,True
2026A&C....5701136J,1,"Jiménez Sanabria, Juan Rafael","Grupo de Astrofísica y Cosmología, Departmento de Física, Universidad Pedagógica y Tecnológica de Colombia, Tunja, 150003, Colombia",Universidad Pedagógica y Tecnológica de Colombia,True
2026A&C....5701136J,2,"Pineda Cruz, Daniel Felipe","Grupo de Física Nuclear Aplicada y Simulación (FINUAS), Departmento de Física, Universidad Pedagógica y Tecnológica de Colombia, Tunja, 150003, Colombia",Universidad Pedagógica y Tecnológica de Colombia,True
2026A&C....5701136J,3,"Medina Lesmes, Martín Mauricio","Grupo de Astrofísica y Cosmología, Departmento de Física, Universidad Pedagógica y Tecnológica de Colombia, Tunja, 150003, Colombia",Universidad Pedagógica y Tecnológica de Colombia,True
2026MNRAS.551g1487X,1,"Xu, Kun","University of Pennsylvania, Center for Particle Cosmology; Durham University, Department of Physics; Shanghai Jiaotong University, China",,False
2026MNRAS.551g1487X,2,"Frenk, Carlos S.","Durham University, Department of Physics",,False
2026MNRAS.551g1487X,3,"Jing, Y. P.","Shanghai Jiaotong University, China",,False
2026MNRAS.551g1487X,4,"Cole, Shaun","Durham University, Department of Physics",,False
2026MNRAS.551g1487X,5,"Bose, Sownak","Durham University, Department of Physics",,False
2026MNRAS.551g1487X,6,"Aguilar, J.","Lawrence Berkeley National Laboratory, California",,False
2026MNRAS.551g1487X,7,"Ahlen, S.","Boston University, Department of Physics",,False
2026MNRAS.551g1487X,8,"Bianchi, D.","University of Milan, Department of Physics; Astronomical Observatory of Brera, Milan",,False
2026MNRAS.551g1487X,9,"Brooks, D.","University College London, Department of Physics and Astronomy",,False
2026MNRAS.551g1487X,10,"Castander, F. J.","Institut d'Estudis Espacials de Catalunya (IEEC), c/Esteve Terradas 1, Edifici RDIT, Campus PMT-UPC, E-08860 Castelldefels, Spain; Institute of Space Sciences, ICE-CSIC, Campus UAB, Carrer de Can Magrans s/n, E-08913 Bellaterra, Barcelona, Spain;",,False
2026MNRAS.551g1487X,11,"Claybaugh, T.","Lawrence Berkeley National Laboratory, California",,False
2026MNRAS.551g1487X,12,"de la Macorra, A.","Instituto de Física, Universidad Nacional Autónoma de México, Circuito de la Investigación Científica, Ciudad Universitaria, Cd. de México C. P. 04510, México;",,False
2026MNRAS.551g1487X,13,"Doel, P.","University College London, Department of Physics and Astronomy",,False
2026MNRAS.551g1487X,14,"Forero-Romero, J. E.","University of the Andes, Colombia; University of the Andes, Colombia",Universidad de los Andes,True
2026MNRAS.551g1487X,15,"Gaztañaga, E.","Institut d'Estudis Espacials de Catalunya (IEEC), c/Esteve Terradas 1, Edifici RDIT, Campus PMT-UPC, E-08860 Castelldefels, Spain; Institute of Space Sciences, ICE-CSIC, Campus UAB, Carrer de Can Magrans s/n, E-08913 Bellaterra, Barcelona, Spain; Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth PO1 3FX, UK;",,False
2026MNRAS.551g1487X,16,"Gontcho, S. Gontcho A.","University of Virginia, Department of Astronomy",,False
2026MNRAS.551g1487X,17,"Gutierrez, G.","Fermi National Accelerator Laboratory, Illinois",,False
2026MNRAS.551g1487X,18,"Hahn, C.","University of Texas, Austin, Department of Astronomy",,False
