bibcode,title,year,month,journal,volume,page,n_authors,n_colombian_authors,num_citations,keywords,doi,arxiv_id,url
1980RvCF...14..115G,The concepts of space and time in classical physics and special relativity,1980,1,Revista Colombiana de Fisica,14,115,1,1,0,Classical Mechanics; Relativity; Space-Time Functions; Astrophysics; Electromagnetism; Newton Theory; Nonrelativistic Mechanics; Astrophysics,,,https://ui.adsabs.harvard.edu/abs/1980RvCF...14..115G
1980PASP...92..484G,AH Vel - another classical cepheid with a blue companion.,1980,8,Publications of the Astronomical Society of the Pacific,92,484,1,1,7,Cepheid Variables; Companion Stars; Stellar Spectra; Stellar Spectrophotometry; Ubv Spectra; B Stars; Binary Stars; Hertzsprung-Russell Diagram; Main Sequence Stars; Radial Velocity; Astronomy,10.1086/130698,,https://ui.adsabs.harvard.edu/abs/1980PASP...92..484G
1982PASP...94..960G,Increased evidence for overtone pulsation in galactic cepheids : SU Cas.,1982,12,Publications of the Astronomical Society of the Pacific,94,960,1,1,28,Cepheid Variables; Stellar Oscillations; Hertzsprung-Russell Diagram; Light Curve; Radial Velocity; Radii; Stellar Luminosity; Stellar Temperature; Astrophysics,10.1086/131092,,https://ui.adsabs.harvard.edu/abs/1982PASP...94..960G
1984ApJ...282..650G,"Surface brightness radii, distances, and absolute magnitudes of classical cepheids.",1984,7,The Astrophysical Journal,282,650,1,1,23,Astrometry; Cepheid Variables; Stellar Oscillations; Astronomical Photometry; Brightness; Distance; Radial Velocity; Radii; Stellar Magnitude; Astronomy,10.1086/162244,,https://ui.adsabs.harvard.edu/abs/1984ApJ...282..650G
1984OrLi...14..547R,Phylogeny of Transfer RNA,1984,12,Origins of Life,14,547,3,1,0,,10.1007/BF00933703,,https://ui.adsabs.harvard.edu/abs/1984OrLi...14..547R
1985ApJS...57..595C,A photometric and radial velocity study of six southern cepheids. I. The data.,1985,3,The Astrophysical Journal Supplement Series,57,595,3,1,58,Astronomical Photometry; Cepheid Variables; Southern Sky; Light Curve; Radial Velocity; Stellar Color; Stellar Magnitude; Tables (Data); Astronomy,10.1086/191017,,https://ui.adsabs.harvard.edu/abs/1985ApJS...57..595C
1985A&A...148..138G,Physical properties of the cepheids RT Aurigae and SZ Tauri.,1985,7,Astronomy and Astrophysics,148,138,1,1,17,Cepheid Variables; Radial Velocity; Star Clusters; Stellar Magnitude; Stellar Spectrophotometry; Brightness; Charge Coupled Devices; Northern Hemisphere; Taurus Constellation; Astrophysics,,,https://ui.adsabs.harvard.edu/abs/1985A&A...148..138G
1985ApJ...295..507G,A search for more Cepheid binaries.,1985,8,The Astrophysical Journal,295,507,1,1,28,Binary Stars; Cepheid Variables; Companion Stars; Light Curve; Radial Velocity; Stellar Spectrophotometry; Data Acquisition; Stellar Color; Ubv Spectra; Astrophysics,10.1086/163395,,https://ui.adsabs.harvard.edu/abs/1985ApJ...295..507G
1987AJ.....94..431G,Frequency Analysis of the Short-Period Cepheid EU Tauri,1987,8,The Astronomical Journal,94,431,2,1,9,Cepheid Variables; Frequency Distribution; Radial Velocity; Spectrum Analysis; Stellar Spectrophotometry; Astrophysics; STARS: PULSATION,10.1086/114484,,https://ui.adsabs.harvard.edu/abs/1987AJ.....94..431G
1988PASP..100..262G,A Note on Several Galactic Cepheids in Open Clusters and Associations,1988,2,Publications of the Astronomical Society of the Pacific,100,262,1,1,5,Cepheid Variables; Milky Way Galaxy; Open Clusters; Star Clusters; Astronomical Catalogs; Brightness Distribution; Main Sequence Stars; Surface Properties; Astronomy; STARS: CEPHEIDS; CLUSTERS: OPEN; CLUSTERS: ASSOCIATIONS,10.1086/132164,,https://ui.adsabs.harvard.edu/abs/1988PASP..100..262G
1988ApJ...329..790G,The Galactic Cepheid Period-Luminosity Relation from the Visual Surface Brightness Method,1988,6,The Astrophysical Journal,329,790,1,1,27,B Stars; Cepheid Variables; Open Clusters; Stellar Luminosity; Stellar Magnitude; Stellar Oscillations; Brightness Distribution; Computational Astrophysics; Radial Velocity; Southern Hemisphere; Astrophysics; STARS: CEPHEIDS; STARS: LUMINOSITIES; STARS: PULSATION,10.1086/166421,,https://ui.adsabs.harvard.edu/abs/1988ApJ...329..790G
1988PASP..100.1008M,Measurements of IAU Radial Velocity Standards from ``Fiber Feed'' Spectra,1988,8,Publications of the Astronomical Society of the Pacific,100,1008,2,1,5,Astronomical Spectroscopy; Fiber Optics; Radial Velocity; Antenna Feeds; Cepheid Variables; Astronomy; INSTRUMENTS,10.1086/132264,,https://ui.adsabs.harvard.edu/abs/1988PASP..100.1008M
1989AJ.....98.1672G,The Short-Period Cepheid EU Tau. I. New Photometric and Radial Velocity Data,1989,11,The Astronomical Journal,98,1672,6,1,12,Astronomical Photometry; Cepheid Variables; Light Curve; Radial Velocity; Ubv Spectra; Charge Coupled Devices; Fourier Analysis; Space Observations (From Earth); Telescopes; Astrophysics; STARS: INDIVIDUAL; STARS: CEPHEIDS,10.1086/115253,,https://ui.adsabs.harvard.edu/abs/1989AJ.....98.1672G
1992A&A...253..126G,On the binary status of the cepheid SV Persei.,1992,1,Astronomy and Astrophysics,253,126,2,2,5,Binary Stars; Cepheid Variables; Companion Stars; Radial Velocity; Astronomical Photometry; Charge Coupled Devices; Iue; Velocity Measurement; Astrophysics,,,https://ui.adsabs.harvard.edu/abs/1992A&A...253..126G
1994Ap&SS.214..171U,The Problem of Stellar Membership in Open Clusters,1994,4,Astrophysics and Space Science,214,171,2,2,11,Astrometry; Cluster Analysis; Kinematics; Star Clusters; Astronomical Photometry; Displacement; Maximum Likelihood Estimates; Populations; Radial Velocity; Star Distribution; Astronomy; Open Cluster; Proper Motion; Kinematical Variable; Membership Probability; Essential Problem,10.1007/BF00982334,,https://ui.adsabs.harvard.edu/abs/1994Ap&SS.214..171U
1994Ap&SS.214....1H,Preface - Basic Space Science,1994,4,Astrophysics and Space Science,214,1,2,1,1,,10.1007/BF00982320,,https://ui.adsabs.harvard.edu/abs/1994Ap&SS.214....1H
1995MNRAS.274..853T,Genus and SPOT density in the COBE-DMR first-year anisotropy maps,1995,6,Monthly Notices of the Royal Astronomical Society,274,853,4,1,20,COSMIC MICROWAVE BACKGROUND; COSMOLOGY: OBSERVATIONS; Astrophysics,10.1093/mnras/274.3.853,arXiv:astro-ph/9502066,https://ui.adsabs.harvard.edu/abs/1995MNRAS.274..853T
1995Ap&SS.228..313T,Cosmology after COBE,1995,6,Astrophysics and Space Science,228,313,1,1,4,Radiation; Microwave; Anisotropy; Geometric Characteristic; Cosmic Microwave Background,10.1007/BF00984985,,https://ui.adsabs.harvard.edu/abs/1995Ap&SS.228..313T
1995Ap&SS.228..309T,The COBE-DMR Database and How to Use it,1995,6,Astrophysics and Space Science,228,309,1,1,1,Microwave; Anisotropy; Data Product; Science Data; Density Fluctuation,10.1007/BF00984984,,https://ui.adsabs.harvard.edu/abs/1995Ap&SS.228..309T
1996Ap&SS.240..225T,The GEM project: An international collaboration to survey galactic radiation emission,1996,9,Astrophysics and Space Science,240,225,12,4,12,Radiation; Colombia; International Collaboration; Radio Telescope; Radiation Emission; Astrophysics,10.1007/BF00639587,arXiv:astro-ph/9605060,https://ui.adsabs.harvard.edu/abs/1996Ap&SS.240..225T
1997Ap&SS.256..529R,Spectral Broadening of the 3463 å Line in a Zirconium Plasma Generated by Laser Irradiation,1997,3,Astrophysics and Space Science,256,529,1,1,2,Zirconium; Ultraviolet Radiation; Spectral Broadening; Laser Fluency; Effect Dependence,10.1023/A:1001100905519,,https://ui.adsabs.harvard.edu/abs/1997Ap&SS.256..529R
1997Ap&SS.256..517A,TiN Production in a Glow Discharge,1997,3,Astrophysics and Space Science,256,517,6,6,0,Nitrogen; Colour; Atmosphere; Titanium; Nitrogen Atmosphere,10.1023/A:1001152906427,,https://ui.adsabs.harvard.edu/abs/1997Ap&SS.256..517A
1997Ap&SS.256..359S,Spectral Study of Ionized Xenon Using a Capillary Pulsed Discharge,1997,3,Astrophysics and Space Science,256,359,4,1,0,Xenon; Spectral Study; Pulse Discharge; Spectroscopic Result; Ionize Xenon,10.1023/A:1001140519631,,https://ui.adsabs.harvard.edu/abs/1997Ap&SS.256..359S
1997Ap&SS.256..321D,Electromagnetic Oscillations in Cylindrical Plasmas with Electron Beams Interactions,1997,3,Astrophysics and Space Science,256,321,3,3,5,Magnetic Field; Fourier; Electron Beam; Dispersion Relation; Numerical Algorithm,10.1023/A:1001144403759,,https://ui.adsabs.harvard.edu/abs/1997Ap&SS.256..321D
