Institution,h_index,n_publications,total_citations,n_unique_authors,first_year,last_year
Universidad de los Andes,22,90,1615,63,1980,2026
Universidad de Antioquia,21,90,1764,70,2005,2026
Universidad Nacional de Colombia,19,95,1288,89,1980,2026
Universidad Industrial de Santander,16,52,914,35,2006,2026
Universidad del Valle,8,19,220,16,2012,2025
Universidad de Nariño,6,9,147,4,2015,2025
Universidad Tecnológica de Pereira,5,17,112,12,1997,2026
Universidad de Medellín,5,5,192,3,2010,2016
Universidad de los Llanos,4,14,42,1,2018,2026
Universidad Militar Nueva Granada,4,6,50,4,2017,2026
Universidad Tecnológica de Bolívar,3,8,34,6,2022,2026
Universidad ECCI,3,7,34,5,2017,2026
Fundación Universitaria Konrad Lorenz,3,4,302,2,2016,2018
Universidad del Atlántico,2,5,25,6,1997,2023
Universidad Distrital Francisco José de Caldas,2,5,18,7,2019,2022
Universidad Antonio Nariño,2,4,12,4,2024,2026
Pontificia Universidad Javeriana,2,3,9,4,2018,2022
COLCIENCIAS / MinCiencias,1,3,4,2,2015,2021
Universidad Sergio Arboleda,1,2,59,2,2019,2020
Universidad de Córdoba,1,2,13,2,2022,2026
Fundación Universitaria Los Libertadores,1,2,11,4,2025,2026
Universidad EAFIT,1,2,11,3,2019,2026
Planetario de Bogotá,1,1,22,1,2013,2013
Universidad Ean,1,1,7,1,2023,2023
Universidad El Bosque,1,1,7,1,2024,2024
