bibcode,title,year,journal,num_citations,n_authors,colombian_institutions
2018MNRAS.473.1195L,Tracing the cosmic web,2018,Monthly Notices of the Royal Astronomical Society,364,30,Universidad de los Andes
2010ApJS..189..309L,"A Library of Theoretical Ultraviolet Spectra of Massive, Hot Stars for Evolutionary Synthesis",2010,The Astrophysical Journal Supplement Series,292,8,Universidad de Antioquia
2017ApJ...842..133L,(Almost) Dark Galaxies in the ALFALFA Survey: Isolated H I-bearing Ultra-diffuse Galaxies,2017,The Astrophysical Journal,236,12,Universidad de los Andes
2016ApJ...824L...6R,Binary Neutron Star Mergers: A Jet Engine for Short Gamma-Ray Bursts,2016,The Astrophysical Journal Letters,229,4,Universidad Industrial de Santander
2013AN....334..691R,The MultiDark Database: Release of the Bolshoi and MultiDark cosmological simulations,2013,Astronomische Nachrichten,184,11,Universidad de los Andes
2015MNRAS.452..246A,"Probing the role of the galactic environment in the formation of stellar clusters, using M83 as a test bench",2015,Monthly Notices of the Royal Astronomical Society,183,5,Universidad de Antioquia
2017ApJ...842...76B,Testing the Kerr Black Hole Hypothesis Using X-Ray Reflection Spectroscopy,2017,The Astrophysical Journal,173,5,Fundación Universitaria Konrad Lorenz
2013MNRAS.428.2489L,The velocity shear tensor: tracer of halo alignment,2013,Monthly Notices of the Royal Astronomical Society,145,7,Universidad de los Andes
2015MNRAS.449.1106H,"Studying the YMC population of M83: how long clusters remain embedded, their interaction with the ISM and implications for GC formation theories",2015,Monthly Notices of the Royal Astronomical Society,135,7,Universidad de Antioquia
2014MNRAS.443.1090F,"Cosmic web alignments with the shape, angular momentum and peculiar velocities of dark matter haloes",2014,Monthly Notices of the Royal Astronomical Society,107,3,Universidad de los Andes
